"","X35078","X35079","X35080","X35081","X35082","X35083","X35084","X35085","X35086","X35087","X35088","X35089","X35092","X35093","X35094","X35096","X35097","X35098","X35099","X35106","X35108","X35110","X35112","X35117","X35122","X35127","X35132","X35136","X35140","X35144","X35148","X35152","X35157","X35162","X35167","X35171","X35176","X35181","X35186","X35191","X35196","X35201","X35205","X35211","X35215","X35222","X35225","X35229","X35233","X35237","X35253","X35257","X35261","X35268","X35272","X35276","X35280","X35284","X35288","X35291","X35294","X35297","X35302","X35305","X35306","X35307","X35308","X35310","X35448","X35454","X35460","X35578","X35586","X35590","X35595","X35596","X35600","X35683","X35689","X35695","X35962","X36009","X36013","X36019","X36121","X36128","X36136","X36151","X36158","X36165","X10","X11","X12","X19","X24","X29","X33","X40","X45","X50"
"SUBJECT","BCBUTE02","BCCICP02","BCEMFT02","BCOBLV02","BCSPFT02","BRBUFT02","BRBUTE02","BRCICP02","BREMFT02","BRODFT02","BRVSLV02","BSCICP02","BSEMFT02","BSFGLV02","BSOBLV02","BSPRFT02","BSPRTE02","BSSPFT02","BSXRLV02","CCRETT01","CCUSMA02","CCUSSP01","CP010000","CP020000","CP030000","CP040000","CP040100","CP040200","CP040300","CP040400","CP040500","CP050000","CP060000","CP070000","CP070200","CP080000","CP090000","CP100000","CP110000","CP120000","CPALTT01","CPGREN01","CPGRGO01","CPGRHO02","CPGRLE01","CPGRSE01","CPHP0100","CPHP0200","CPHP0300","CPHP0400","CPHP0500","CPHP0600","CPHP0700","CPHP0800","CPHP0900","CPHP1000","CPHP1100","CPHP1200","CPHPEN01","CPHPLA01","CPHPSE01","CPHPTT01","CSCICP02","CSESFT02","CSINFT02","IR3TIB01","IRLTLT01","LCEAMN01","LFHU24MA","LFHUADMA","LFHUTTMA","LMUNRLTT","LOCOBPNO","LOCOCINO","LOCOSPOR","LOLITOAA","LORSGPNO","LRHU24FE","LRHUADFE","LRHUTTFE","PIEAMP02","PRINTO01","PRMITO01","PRMNTO01","SLRTCR03","SLRTTO01","SPASTT01","XTEXVA01","XTIMVA01","XTNTVA01","M1","M2","M3","GOLD","CRUDE OIL","LTIR","PCV","RoCU","PFCE","ULCP"
"X1960M01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.94350955","  0.58422776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.56000000",NA,NA,NA,NA,NA,NA,NA,"  8.05769283",NA,NA,NA,NA,NA,NA,"  1.21951220",NA,"  0.07242878",NA,NA,"  4.34782609","  0.28887181","  0.35459677"," -0.06572496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.87202841","  0.58453848",NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.60000000",NA,NA,NA,NA,NA,NA,NA,"  7.61451973",NA,"103.15231891",NA,NA,NA,NA,"  0.00000000",NA,"  0.21712907",NA,NA," -5.50000000","  0.33352068","  0.35101859"," -0.01749791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.87907585","  0.58422776",NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.51000000",NA,NA,NA,NA,NA,NA,NA,"  7.58766075",NA,"103.10640093",NA,NA,NA,NA,"  1.20481928",NA,"  1.22773231",NA,NA," -0.35273369","  0.36187507","  0.41224596"," -0.05037089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.84333528","  0.58438423","  0.14150345",NA,NA,NA,NA,NA,NA,NA,"  0.99999997",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.12823367","  1.00000000",NA,NA,"  0.06733096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.49000000",NA,NA,NA,NA,NA,NA,NA,"  8.12484027",NA,"103.01896700",NA,NA,NA,NA,"  2.38095238",NA,"  2.28299643",NA,NA,"  7.07964602","  0.31474474","  0.35345808"," -0.03871334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.8216896","  0.5845385"," -0.9615385",NA,NA,NA,NA,NA,NA,NA," -1.9801980",NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.9615384"," -1.9801980",NA,NA," -0.8941830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.5600000",NA,NA,NA,NA,NA,NA,NA,"  8.1785582",NA,"102.8398277",NA,NA,NA,NA,"  0.0000000",NA,"  0.1976285",NA,NA,"  0.6611570","  0.3325484","  0.3752440"," -0.0426956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.82168958","  0.58438423"," -1.94174756",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.97087381","  0.00000000",NA,NA," -0.75688058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.49000000",NA,NA,NA,NA,NA,NA,NA,"  9.27977624",NA,"102.54560762",NA,NA,NA,NA,"  1.16279070",NA,"  1.72873883",NA,NA," 13.46469622","  0.32406229","  0.38717753"," -0.06311524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.87907585","  0.58438423","  0.00000000",NA,NA,NA,NA,NA,NA,NA,"  1.01010102",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000","  1.01010101",NA,NA," -0.06656141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.39000000",NA,NA,NA,NA,NA,NA,NA,"  9.21262880",NA,"102.18077874",NA,NA,NA,NA," -1.14942529",NA," -2.13275547",NA,NA," -0.72358900","  0.32794100","  0.39183249"," -0.06389150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.87202841","  0.58422776"," -2.97029704",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.98039214","  0.00000000",NA,NA," -0.48337287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.40000000",NA,NA,NA,NA,NA,NA,NA,"  9.52150703",NA,"101.81278418",NA,NA,NA,NA,"  1.16279070",NA,"  1.60820417",NA,NA,"  3.35276968","  0.30859943","  0.34173940"," -0.03313997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.8287370","  0.5845385","  2.0408163",NA,NA,NA,NA,NA,NA,NA,"  1.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.9900990","  1.0000000",NA,NA,"  0.6999384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.4100000",NA,NA,NA,NA,NA,NA,NA,"  9.1589109",NA,"101.4928282",NA,NA,NA,NA,"  1.1494253",NA,"  0.8945980",NA,NA," -3.8081805","  0.3686005","  0.3874283"," -0.0188278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.82873702","  0.58438423"," -1.99999999",NA,NA,NA,NA,NA,NA,NA," -0.99009898",NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.98039214"," -0.99009901",NA,NA," -0.69507336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.35000000",NA,NA,NA,NA,NA,NA,NA,"  9.02461597",NA,"101.21783174",NA,NA,NA,NA,"  1.13636364",NA,"  0.95487098",NA,NA," -1.46627566","  0.37178270","  0.40758203"," -0.03579933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"190.01499069","  0.58422776"," -1.02040816",NA,NA,NA,NA,NA,NA,NA,"  0.99999997",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000","  1.00000000",NA,NA,"  0.21421772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.36000000",NA,NA,NA,NA,NA,NA,NA,"  9.01118648",NA,"100.95493616",NA,NA,NA,NA,"  0.00000000",NA,"  0.24771985",NA,NA," -0.14880952","  0.36320575","  0.39208206"," -0.02887631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.83628784","  0.58453848","  0.00000000",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000","  0.00000000",NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.34000000",NA,NA,NA,NA,NA,NA,NA,"  8.78288519",NA,"100.66216016",NA,NA,NA,NA,"  2.24719101",NA,"  2.51600584",NA,NA," -2.53353204","  0.36195663","  0.41021752"," -0.04826088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.96515525","  0.58237665","  3.09278349",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.99009899","  0.00000000",NA,NA,"  0.48468245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.34000000",NA,NA,NA,NA,NA,NA,NA,"  9.15891085",NA,"100.30783762",NA,NA,NA,NA," -2.19780220",NA," -2.07077901",NA,NA,"  4.28134557","  0.35853121","  0.44412292"," -0.08559171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"190.67744970","  0.58038229","  0.00000000",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000","  0.00000000",NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.30000000",NA,NA,NA,NA,NA,NA,NA,"  9.74980833",NA," 99.87474873",NA,NA,NA,NA,"  0.00000000",NA," -0.16782278",NA,NA,"  6.45161290","  0.32023190","  0.37118388"," -0.05095198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"182.50594733","  0.61350405"," -0.99999999",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.98039214","  0.00000000",NA,NA," -1.04073021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.26000000",NA,NA,NA,NA,NA,NA,NA," 10.01839809",NA," 99.36845561",NA,NA,NA,NA,"  0.00000000",NA,"  0.52672868",NA,NA,"  2.75482094","  0.40104260","  0.48185793"," -0.08081532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"180.94494019","  0.61350405","  4.04040405",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1.98019802","  0.00000000",NA,NA,"  1.53909267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.12000000",NA,NA,NA,NA,NA,NA,NA," 10.51528915",NA," 98.83077645",NA,NA,NA,NA,"  2.24719101",NA,"  0.75808250",NA,NA,"  4.95978552","  0.33272686","  0.40227679"," -0.06954993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 14.5000000",NA,NA,NA,"180.9056759","  0.6135040","  0.0000000",NA,NA,NA,NA,NA,NA,NA," -1.9801980",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.9708738"," -1.9801980",NA,NA,"  1.4458770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.0500000",NA,NA,NA,NA,NA,NA,NA," 10.3944238",NA," 98.3189652",NA,NA,NA,NA," -3.2967033",NA," -2.1796858",NA,NA," -1.1494253","  0.3492164","  0.4210075"," -0.0717911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -8.3000000"," 13.1000000",NA," 14.5000000",NA,NA,NA,"180.8925878","  0.6135040","  0.9708738",NA,NA,NA,NA,NA,NA,NA,"  0.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.0000000","  0.0000000",NA,NA," -0.2738924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.0900000",NA,NA,NA,NA,NA,NA,NA,"  9.6960904",NA," 97.8878422",NA,NA,NA,NA,"  1.1363636",NA,"  0.9161860",NA,NA," -6.7183463","  0.3442326","  0.4508140"," -0.1065813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -5.30000000"," 13.10000000",NA," 15.50000000",NA,NA,NA,"180.89913186","  0.61299279"," -0.96153846",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.96153844","  0.00000000",NA,NA," -1.02377645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.14000000",NA,NA,NA,NA,NA,NA,NA,"  9.05147495",NA," 97.57087819",NA,NA,NA,NA,"  1.12359551",NA,"  1.45707241",NA,NA," -6.64819945","  0.34032441","  0.40154384"," -0.06121944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -5.30000000","  7.10000000",NA," 15.50000000",NA,NA,NA,"181.26408838","  0.61146121"," -1.94174756",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000","  0.00000000",NA,NA,"  0.55497102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.23000000",NA,NA,NA,NA,NA,NA,NA,"  8.98432751",NA," 97.38978863",NA,NA,NA,NA,"  1.11111111",NA," -1.08263367",NA,NA," -0.74183976","  0.34047233","  0.39851370"," -0.05804137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -4.30000000","  5.10000000",NA," 17.50000000",NA,NA,NA,"181.88627633","  0.60993845","  0.99009900",NA,NA,NA,NA,NA,NA,NA,"  2.02020200",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000","  2.02020202",NA,NA," -0.40734013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.15000000",NA,NA,NA,NA,NA,NA,NA,"  8.82317365",NA," 97.35563711",NA,NA,NA,NA,"  0.00000000",NA,"  0.91579182",NA,NA," -1.79372197","  0.40711384","  0.42814759"," -0.02103375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -8.30000000","  3.10000000",NA," 20.50000000",NA,NA,NA,"181.52534691","  0.61299279"," -0.98039215",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000","  0.00000000",NA,NA,"  0.27708271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.14000000",NA,NA,NA,NA,NA,NA,NA,"  9.02461597",NA," 97.45988963",NA,NA,NA,NA,"  0.00000000",NA,"  0.60867641",NA,NA,"  2.28310502","  0.36937719","  0.40431827"," -0.03494109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -8.30000000","  3.10000000",NA," 20.50000000",NA,NA,NA,"181.29680862","  0.61231184","  0.00000000",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000","  0.00000000",NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.18000000",NA,NA,NA,NA,NA,NA,NA,"  9.07833392",NA," 97.68723951",NA,NA,NA,NA,"  1.09890110",NA,"  1.31998680",NA,NA,"  0.59523810","  0.40066305","  0.47674183"," -0.07607878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1961M12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.30000000","  1.10000000",NA," 20.50000000",NA,NA,NA,"181.29680862","  0.61214216","  0.99009900",NA,NA,NA,NA,NA,NA,NA,"  0.99009902",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000","  0.99009901",NA,NA," -0.34209656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.15000000",NA,NA,NA,NA,NA,NA,NA,"  9.14548136",NA," 98.01795602",NA,NA,NA,NA,"  2.17391304",NA,"  0.98794919",NA,NA,"  0.73964497","  0.36345664","  0.45647267"," -0.09301602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1962M01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -5.3000000","  4.1000000",NA," 20.5000000",NA,NA,NA,"181.5318910","  0.6097710","  0.0000000",NA,NA,NA,NA,NA,NA,NA,"  0.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.0000000","  0.0000000",NA,NA,"  0.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.0800000",NA,NA,NA,NA,NA,NA,NA,"  9.0917634",NA," 98.4209417",NA,NA,NA,NA," -1.0638298",NA,"  1.1395399",NA,NA," -0.5873715","  0.3643725","  0.4800067"," -0.1156342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1962M02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -7.30000000","  0.10000000",NA," 21.50000000",NA,NA,NA,"182.18226865","  0.60909663","  0.00000000",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000","  0.00000000",NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.02000000",NA,NA,NA,NA,NA,NA,NA,"  9.42750061",NA," 98.86419024",NA,NA,NA,NA,"  1.07526882",NA,"  0.29761905",NA,NA,"  3.69276219","  0.34096686","  0.41833374"," -0.07736687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1962M03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.30000000"," -1.90000000",NA," 19.50000000",NA,NA,NA,"181.81378841","  0.61112404","  0.98039215",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.97087377","  0.00000000",NA,NA,"  1.03354631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.15000000",NA,NA,NA,NA,NA,NA,NA,"  9.52150703",NA," 99.31970314",NA,NA,NA,NA," -1.06382979",NA," -0.91140314",NA,NA,"  0.99715100","  0.41364417","  0.48313860"," -0.06949443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1962M04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  2.70000000"," -4.90000000",NA," 16.50000000",NA,NA,NA,"181.25754433","  0.61282310","  8.73786408",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  3.84615385","  0.00000000",NA,NA,"  2.71974745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.22000000",NA,NA,NA,NA,NA,NA,NA,"  9.05147495",NA," 99.76515757",NA,NA,NA,NA,"  0.00000000",NA," -1.43315508",NA,NA," -4.93653032","  0.34465042","  0.40547108"," -0.06082066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1962M05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  3.70000000"," -4.90000000",NA," 13.50000000",NA,NA,NA,"180.93839615","  0.61350405"," -4.46428571",NA,NA,NA,NA,NA,NA,NA," -1.96078429",NA,NA,NA,NA,NA,NA,NA,NA,NA," -1.85185186"," -1.96078431",NA,NA," -1.06308575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.29000000",NA,NA,NA,NA,NA,NA,NA,"  8.25913515",NA,"100.17160040",NA,NA,NA,NA,"  1.07526882",NA,"  2.12673611",NA,NA," -8.75370920","  0.38086918","  0.47879902"," -0.09792984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1962M06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  3.70000000"," -4.90000000",NA," 12.50000000",NA,NA,NA,"181.03605348","  0.61350405","  5.60747663",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1.88679246","  0.00000000",NA,NA,"  0.93304227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.45000000",NA,NA,NA,NA,NA,NA,NA,"  7.35935945",NA,"100.49129197",NA,NA,NA,NA,"  1.06382979",NA," -0.04249894",NA,NA,"-10.89430894","  0.39873761","  0.44267104"," -0.04393343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1962M07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.7000000"," -5.9000000",NA," 15.5000000",NA,NA,NA,"180.9383961","  0.6119725"," -5.3097345",NA,NA,NA,NA,NA,NA,NA,"  1.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA," -2.7777778","  1.0000000",NA,NA," -2.2529276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.4400000",NA,NA,NA,NA,NA,NA,NA,"  7.7488146",NA,"100.6480371",NA,NA,NA,NA,"  1.0526316",NA,"  3.2738095",NA,NA,"  5.2919708","  0.3583342","  0.4621064"," -0.1037722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1962M08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  3.7000000"," -5.9000000",NA," 15.5000000",NA,NA,NA,"181.4533624","  0.6112937"," -1.8691589",NA,NA,NA,NA,NA,NA,NA,"  0.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.0000000","  0.0000000",NA,NA,"  0.5474078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.2600000",NA,NA,NA,NA,NA,NA,NA,"  7.7085261",NA,"100.5590240",NA,NA,NA,NA,"  0.0000000",NA," -0.2881844",NA,NA," -0.5199307","  0.3512140","  0.4516401"," -0.1004261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1962M09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  3.70000000"," -6.90000000",NA," 16.50000000",NA,NA,NA,"181.36828976","  0.61248153","  0.00000000",NA,NA,NA,NA,NA,NA,NA,"  1.98019804",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.95238094","  1.98019802",NA,NA,"  1.15732339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.20000000",NA,NA,NA,NA,NA,NA,NA,"  7.58766075",NA,"100.16848337",NA,NA,NA,NA,"  0.00000000",NA," -2.03344344",NA,NA," -1.56794425","  0.41021940","  0.39245618","  0.01776322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
